admDistrict,districtType,town,ruralStoreName,inFormation
Aichach-Friedberg,Landkreis,Harthausen,Dorfladen Harthausen UG (haftungsbeschränkt),
Amberg-Sulzbach,Landkreis,Utzenhofen,Dorfladen Utzenhofen,
Ansbach,Landkreis,Arberg,Dorfladen Arberg eG,
Ansbach,Landkreis,Langfurth,Dorfladen Langfurth eG,
Aschaffenburg,Landkreis,Feldkahl,Dorfladen Feldkahl UG (haftungsbeschränkt),ja
Aschaffenburg,Landkreis,Hofstädten,Dorfladen Hofstädten UG (haftungsbeschränkt),
Aschaffenburg,Landkreis,Kleinkahl,Dorfladen Kleinkahl UG (haftungsbeschränkt),ja
Aschaffenburg,Landkreis,Wiesen,Dorfladen Wiesen UG (haftungsbeschränkt),
Augsburg,Landkreis,Biberbach,Dorfladen Biberbach GmbH,
Bad Tölz-Wolfratshausen,Landkreis,Reichersbeuern,Dorfladen Reichersbeuern,ja
Bad Tölz-Wolfratshausen,Landkreis,Wolfratshausen,,ja
Bayreuth,Landkreis,Trockau,Dorfladen Trockau eG,
Coburg,Landkreis,Heilgersdorf,Dorfladen Heilgersdorf GmbH & Co. KG,
Coburg,Landkreis,Rossach,Dorfladen Rossach UG,
Dillingen an der Donau,Landkreis,Lauterbach,Nahversorgung Dorfladen Lauterbach UG (haftungsbeschränkt),
Dillingen an der Donau,Landkreis,Zöschingen,Dorfladen Zöschingen eG,
Donau-Ries,Landkreis,Amerdingen,Dorfladen Amerdingen eG,
Donau-Ries,Landkreis,Daiting,Dorfladen Daiting eG,
Donau-Ries,Landkreis,Huisheim,Dorfladen Huisheim UG (haftungsbeschränkt),
Donau-Ries,Landkreis,Riedheim,Dorfladen Riedheim eG,
Donau-Ries,Landkreis,Rögling,Dorfladen Rögling UG (haftungsbeschränkt),
Donau-Ries,Landkreis,Tagmersheim,Dorfladen Tagmersheim UG (haftungsbeschränkt),
Donau-Ries,Landkreis,Wolferstadt,Dorfladen Wolferstadt GbR,
Ebersberg,Landkreis,Gelting,Dorfladen Gelting eG,
Eichstätt,Landkreis,Appertshofen,Dorfladen Appertshofen UG (haftungsbeschränkt),
Eichstätt,Landkreis,Lippertshofen,Dorfladen Lippertshofen eG,
Erding,Landkreis,Langenpreising,Dorfladen Langenpreising UG (haftungsbeschränkt),ja
Erding,Landkreis,Wörth,Dorfladen Wörth UG (haftungsbeschränkt),
Erlangen-Höchstadt,Landkreis,Eckenhaid,Dorfladen Eckenhaid UG (haftungsbeschränkt),
Erlangen-Höchstadt,Landkreis,Röttenbach,Dorfladen Röthenbach eG,
Forchheim,Landkreis,Unterleinleiter,Ladarer Dorfladen eG,
Freising,Landkreis,Haag an der Amper,Dorfladen Haag an der Amper UG (haftungsbeschränkt),
Freising,Landkreis,Paunzhausen,Dorfladen Paunzhausen eG,
Fürstenfeldbruck,Landkreis,Schöngeising,Dorfladen Schöngeising eG,
Garmisch-Partenkirchen,Landkreis,Farchant,Dorfladen Farchant UG (haftungsbeschränkt),
Günzburg,Landkreis,Deisenhausen,Dorfladen Deisenhausen eG,
Günzburg,Landkreis,Ettenbeuren,Dorfladen Ettenbeuren GbR,
Günzburg,Landkreis,Haldenwang,Dorfladen Börwang GmbH,
Günzburg,Landkreis,Neuburg an der Kammel,Dorfladen Neuburg an der Kammel eG,
Haßberge,Landkreis,Untermerzbach,MIO-Dorfladen Untermerzbach GmbH & Co. KG,
Haßberge,Landkreis,Aidhausen,Aidhäuser Dorflädle UG (haftungsbeschränkt),
Haßberge,Landkreis,Riedbach-Kleinsteinach,Dorfladen Riedbach-Kleinsteinach UG (haftungsbeschränkt),
Kelheim,Landkreis,Kirchdorf,Dorfladen Kirchdorf UG (haftungsbeschränkt),
Kempten,Landkreis,Oberösch,Miniladen im Oberösch eG,
Kitzingen,Landkreis,Buchbrunn,Dorfladen Buchbrunn UG (haftungsbeschränkt),
Kitzingen,Landkreis,Rödelsee,Dorfladen Rödelsee,
Kronach,Landkreis,Nordhalben,Nordwald Markt Verwaltungs UG (haftungsbeschränkt),
Kulmbach,Landkreis,Grafengehaig,Dorfladen Grafengehaig GmbH,
Kulmbach,Landkreis,Rugendorf,Rgendorfladen eG,
Landsberg am Lech,Landkreis,Hurlach,Dorfladen Hurlach eG,
Landsberg am Lech,Landkreis,Windach,Dorfladen Windach eG,
Landshut,Landkreis,Furth,Dorfladen Furth GmbH,
Landshut,Landkreis,Johannesbrunn,Klosterladen Johannesbrunn eG,
Lindau (Bodensee),Landkreis,Opfenbach,Dorfladen Opfenbach UG (haftungsbeschränkt),
Main-Spessart,Landkreis,Gräfendorf,Dorfladen Gräfendorf UG (haftungsbeschränkt),
Main-Spessart,Landkreis,Aura im Sinngrund,Dorfladen Aura im Sinngrund UG,
Main-Spessart,Landkreis,Wiesenfeld,Dorfladen in Wiesenfeld UG,
Main-Spessart,Landkreis,Obersfeld,Dorfladen Obersfeld UG,
Miltenberg,Landkreis,Rück-Schippach,Dorfladen Rück-Schippach UG (haftungsbeschränkt),
Mühldorf am Inn,Landkreis,Mettenheim,Dorfladen Mettenheim eG,
Mühldorf am Inn,Landkreis,Mittergars,Mittergarser Dorfladen GmbH,
Mühldorf am Inn,Landkreis,Oberflossing,Dorfladen Flossing UG (haftungsbeschränkt),
Mühldorf am Inn,Landkreis,Oberornau,Dorfladen Oberornau UG (haftungsbeschränkt),
Mühldorf am Inn,Landkreis,Ramsau,Dorfladen Ramsau eG,
Neu-Ulm,Landkreis,Jedesheim,Dorfladen Jedesheim eG,
Neu-Ulm,Landkreis,Kellmünz,Dorfladen Kellmünz UG,
Neumarkt in der Oberpfalz,Landkreis,Deusmauer,Dorfladen Deusmauer UG (haftungsbeschränkt),
Neumarkt in der Oberpfalz,Landkreis,Hohenfels,Einkaufsmarkt Hohenfels UG (haftungsbeschränkt),
Neumarkt in der Oberpfalz,Landkreis,Sulzbürg,Sulzbürger Dorfladen GbR,
Neustadt/Aisch-Bad Windsheim,Landkreis,Ipsheim,Dorfladen Ipsheim UG (haftungsbeschränkt),
Neustadt/Aisch-Bad Windsheim,Landkreis,Langenfeld,Dorfladen Langenfeld UG,
Nürnberger Land,Landkreis,Haimendorf,Dorfladen und Gaststätte Haimendorf eG,
Nürnberger Land,Landkreis,Schönberg,Dorfladen Schönberg eG,
Nürnberger Land,Landkreis,Simonshofen,Dorfmarkt Simonshofen eG,
Oberallgäu,Landkreis,Altstädten,Dorfladen Altstädten eG,
Oberallgäu,Landkreis,Börwang,Dorfladen Börwang GmbH,
Oberallgäu,Landkreis,Heising,Dorfladen Heising GmbH,
Oberallgäu,Landkreis,Krugzell,Dorfladen Krugzell GmbH,
Oberallgäu,Landkreis,Niedersonthofen,Dorfladen Niedersonthofen UG (haftungsbeschränkt),
Oberallgäu,Landkreis,Probstried,Dorfladen Probstried GmbH,
Oberallgäu,Landkreis,Rettenberg,Familie Frisch,
Ostallgäu,Landkreis,Hopferbach,Dorfladen Hopferbach GmbH,
Ostallgäu,Landkreis,Rettenbach,Weichbergmarkt GmbH Rettenbach a.A.,
Ostallgäu,Landkreis,Friesenried,Dorfladen Friesenried UG,
Regen,Landkreis,Bayerisch Eisenstein,Eisensteiner Dorfladen eG,
Rhön-Grabfeld,Landkreis,Unsleben,Dorfladen Unsleben eG,
Rosenheim,Landkreis,Evenhausen,Dorfladen Evenhausen UG (haftungsbeschränkt),
Rosenheim,Landkreis,Pfaffenhofen,Dorfladen Pfaffenhofen UG (haftungsbeschränkt),
Rosenheim,Landkreis,Sachrang,Sachranger Dorfladen UG (haftungsbeschränkt),
Roth,Landkreis,Schwanstetten,Unser Markt in Schwanstetten UG,
Schwandorf,Landkreis,Altendorf,Dorfladen Altendorf UG (haftungsbeschränkt),
Schwandorf,Landkreis,Gleiritsch,Dorfladen Gleiritsch UG (haftungsbeschränkt),
Schwandorf,Landkreis,Schwarzhofen,Dorfladen Schwarzhofen GmbH,
Straubing-Bogen,Landkreis,Irlbach,Irlbacher Dorfladen UG (haftungsbeschränkt),
Tirschenreuth,Landkreis,Fuchsmühl,Dorfladen Fuchsmühl UG (haftungsbeschränkt),
Traunstein,Landkreis,Frabertsham,Dorfladen Frabertsham UG (haftungsbeschränkt),
Traunstein,Landkreis,Hammer,Dorfladen Hammer UG (haftungsbeschränkt),
Traunstein,Landkreis,Schleching,Dorfladen Schleching UG (haftungsbeschränkt),
Unterallgäu,Landkreis,Niederrieden,Dorfladen Niederrieden GmbH,
Unterallgäu,Landkreis,Wolfertschwenden,Dorfladen Wolfertschwenden GmbH,
Weilheim-Schongau,Landkreis,Habach,Dorfladen Habach UG (haftungsbeschränkt),
Weißenburg-Gunzenhausen,Landkreis,Absberg,Dorfladen Absberg eG,
Würzburg,Landkreis,Eisenheim,Dorfladen Eisenheim UG (haftungsbeschränkt),ja
Würzburg,Landkreis,Uengershausen,Dorfladen Uengershausen UG (haftungsbeschränkt),